DATUM OD,DATUM DO,NAZEV,MESTO,TYP,KATEGORIE,DISCIPLINY,PORADATEL,KLUB,KLUB CISLO,REGISTRACE DO,URL
"""DATUM OD""","""DATUM DO""",NAZEV,MESTO,TYP,KATEGORIE,DISCIPLINY,PORADATEL,KLUB,"""KLUB CISLO""","""REGISTRACE DO""",URL
2024-08-23,2024-08-25,"""Kontroln zvod reprezentace 2024 4.kolo""",Plze,"""1. kategorie, ebek, Sledovan, Stt""","""Mui, eny""","""VzPi 60, SP 30+30, RP 2x30, VzPu 60 ISSF, SM 3x20, LM 3x20""",,,,,https://shooting.cz/cs/souteze/2024-08-23-kontrolni-zavod-reprezentace-2024-4-kolo
2024-08-24,2024-08-24,"""Rychl pistole""","""Nov paka""","""3. kategorie""",Mui,"""StVzPi 3x20""",,,192,2024-08-24,https://shooting.cz/cs/souteze/2024-08-24-rychla-pistole
2024-08-24,2024-08-25,"""VC Podbrad 2024 - Memoril J. Vlka""",Podbrady,"""2. kategorie""",,"""LM 3x20, LM 60""",,,32,,https://shooting.cz/cs/souteze/2024-08-24-vc-podebrad-2024-memorial-j-vlcka-1
2024-08-30,2024-09-01,"""Oblastn steleck liga kule Karvin 2024 - 5. kolo""","""Karvin - Nov Msto""","""2. kategorie""","""Mui, eny, Junioi, Juniorky, Dorostenci st., Dorostenky st., dorostenci ml., dorostenky ml.""","""SP 30+30, LP 60, StP 3x20, RP 2x30, VP 15+15""",,,373,,https://shooting.cz/cs/souteze/2024-08-30-oblastni-strelecka-liga-kule-karvina-2024-5-kolo-1
2024-08-31,2024-08-31,"""Memoril Gery a Libora Krkovch""",Manuice,"""2. kategorie""","""Mui, eny, Junioi, Juniorky, Dorostenci st., dorostenci ml.""","""SM 3x20, SM 60""",,,200,2024-08-25,https://shooting.cz/cs/souteze/2024-08-31-memorial-gery-a-libora-kurkovych-1
2024-08-31,2024-08-31,"""Podzimn vstel""","""Horn Cerekev""","""2. kategorie""","""Mui, eny""","""SM 60 ISSF, LM 60 ISSF""",,,252,2024-08-31,https://shooting.cz/cs/souteze/2024-08-31-podzimni-vystrel
2024-08-31,2024-08-31,"""Posledn przdninov vstel 23. ronk a 16. ronk Memorilu Karla Aubuse""","""Uhersk Ostroh""","""2. kategorie""",Mui,"""PePiC, PeRe, PeRe50m, KPiC, DPi, PePuC, PePuV, KPuC, DPu, PePuC100m, PePuV100m""",,,210,2024-08-31,https://shooting.cz/cs/souteze/2024-08-31-posledni-prazdninovy-vystrel-23-rocnik-a-16-rocnik-memorialu-karla-aubuse
2024-08-31,2024-08-31,"""Velk cena SSK Chotbo""",Chotbo,"""2. kategorie""","""Mui, eny, Junioi, Juniorky, Dorostenci st., dorostenci ml.""","""SM 3x20, SM 60, LM 3x20, LM 60""",,,120,,https://shooting.cz/cs/souteze/2024-08-31-velka-cena-ssk-chotebor-1
2024-09-01,2024-09-01,"""Memoril F.Vobra""","""Bystice nad Perntejnem""","""2. kategorie""","""Mui, eny, Junioi, Juniorky, Dorostenci st., dorostenci ml.""","""SM 60, LM 60""",,,303,,https://shooting.cz/cs/souteze/2024-09-01-memorial-f-vobra-1
2024-09-01,2024-09-01,"""Memoril Ilka Dlouhho""",Prosimice,"""2. kategorie""","""Mui, eny, Junioi, Juniorky, Dorostenci st., dorostenci ml.""","""SM 3x20, SM 60, LM 3x20, LM 60""",,,125,2024-09-01,https://shooting.cz/cs/souteze/2024-09-01-memorial-ilka-dlouheho
