DATUM OD,DATUM DO,NAZEV,MESTO,TYP,KATEGORIE,DISCIPLINY,PORADATEL,KLUB,KLUB CISLO,REGISTRACE DO,URL
"""DATUM OD""","""DATUM DO""",NAZEV,MESTO,TYP,KATEGORIE,DISCIPLINY,PORADATEL,KLUB,"""KLUB CISLO""","""REGISTRACE DO""",URL
2024-03-03,2024-03-03,"""Putovn pohr SSK 0201 Chrast u Chrudimi 5.kolo""","""Chrast u Chrudimi""","""2. kategorie""","""SH1, Mui, eny, Veterni""","""VzPi 60, VzPi 40, VzPu 60 ISSF, VzPu 40 ISSF""","""SSK  0201 Chrast u Chrudimi""",,,2024-03-03,https://shooting.cz/cs/souteze/2023-11-05-putovni-pohar-ssk-0201-chrast-u-chrudimi-1-kolo-4
2024-03-03,2024-03-03,"""Vrchlabsko - Trutnovsk vzduchovkov liga 2023 finle""",Trutnov,"""2. kategorie""","""Mui, eny, Dorostenci st., Veterni""","""VzPi 60, VzPi 40""","""SSK  koda  Vrchlab  . 0095""",,,2024-03-03,https://shooting.cz/cs/souteze/2023-11-05-vrchlabsko-trutnovska-vzduchovkova-liga-2023-1-kolo-clone-508805-clone-983003-clone-600352-clone-106493
2024-03-03,2024-03-03,"""Zlat diabolka + 54. ronk memorilu Rudolfa Jocha a Eduarda Briskorina""",Bezolupy,"""2. kategorie""","""Mui, eny, Dorostenci st., ci 13 a 14 let, ci do 12 let""","""VzPu 60 ISSF, VzPu 40 ISSF, VzPu 30 ISSF vlee""",,,386,2024-02-28,https://shooting.cz/cs/souteze/2024-03-03-zlata-diabolka-54-rocnik-memorialu-rudolfa-jocha-a-eduarda-briskorina
2024-03-03,2024-03-03,"""Karlovarsk liga  vzduchov pistole 2023/2024 11.kolo""",Bezov,"""2. kategorie""","""Veterni 65+ let, Mui, eny, Dorostenci st., ci 13 a 14 let, Senioi""","""VzPi 60, VzPi 40, VzPi 60 s oporou, VzPi 40 s oporou""","""Karlovarsk krajsk sdruen SS""",,,2024-03-03,https://shooting.cz/cs/souteze/2023-10-15-karlovarska-liga-vzduchova-pistole-2023-2024-1-kolo_clone_355894_clone_825015
2024-03-09,2024-03-09,"""Klatovsk pohr 2023-2024 5.kolo""","""Dolany u Klatov""","""2. kategorie""","""ci 13 a 14 let, ci do 12 let""","""VzPu 30 ISSF vlee, VzPu 30 ISSF vlee s oporou""","""SSK  0173 Klatovy  """,,,2024-03-09,https://shooting.cz/cs/souteze/2023-11-11-pohar-mladeze-ssk-klatovy-2023-2024-1-kolo-4
2024-03-09,2024-03-10,"""Mistrovstv R 2024 - Vzduchov zbran""",Plze,"""1. kategorie, ebek, Sledovan""","""SH1, Mui, eny, Junioi, Juniorky, Dorostenci st., Dorostenky st., dorostenci ml., dorostenky ml., Senioi, ci""","""VzPi 60, VzPi 40, VzPu 60 ISSF, VzPu 40 ISSF""","""esk steleck svaz""",,,2024-02-26,https://shooting.cz/cs/souteze/2024-03-08-m-cr-2024-plzen-vzduchove-zbrane
2024-03-09,2024-03-09,"""O putovn pohr SSK Roov 20. ronk 4.kolo""",Roov,"""2. kategorie""","""Mui, eny, Junioi, Juniorky, Dorostenci st., ci 13 a 14 let, ci do 12 let""","""VzPu 60 ISSF, VzPu 40 ISSF, VzPu 30 ISSF vlee""","""SSK - 0899 Roov""",,,2024-03-07,https://shooting.cz/cs/souteze/2024-02-10-klon-o-putovni-pohar-ssk-rocov-20-rocnik-3-kolo
2024-03-09,2024-03-09,"""Slovansk elektronick pukov liga 2023-2024 - Finle""",Plze,"""2. kategorie""","""Mui, eny, Junioi, Juniorky, Dorostenci st.""","""VzPu 60 ISSF, VzPu 40 ISSF""","""SSK Plze  Slovany C-0015""",,,2024-03-09,https://shooting.cz/cs/souteze/2024-03-09-slovanska-elektronicka-puskova-liga-2023-2024-finale
2024-03-10,2024-03-10,"""Jarn cena""",Svitavy,"""2. kategorie""","""dorostenci ml., ci 13 a 14 let, ci do 12 let""","""VzPu 40 ISSF, VzPu 30 ISSF vlee""","""SV Svitavy""",,119,2024-03-10,https://shooting.cz/cs/souteze/2024-03-10-jarni-cena
2024-03-10,2024-03-10,"""Slovansk elektronick pistolov liga 2023-2024 - Finle""",Plze,"""2. kategorie""","""Mui, eny, Junioi, Juniorky, Dorostenci st.""","""VzPi 60, VzPi 40""","""SSK Plze  Slovany C-0015""",,,2024-03-10,https://shooting.cz/cs/souteze/2024-02-25-slovanska-elektronicka-pistolova-liga-2023-2024-finale
2024-03-16,2024-03-16,"""Jarn cena - """"Vyhnn pavouk""""""","""Nov Paka""","""2. kategorie""","""Mui, eny, Dorostenci st., Dorostenky st.""","""SM 30, LM 30""",,,192,2024-03-16,https://shooting.cz/cs/souteze/2024-03-16-jarni-cena-vyhaneni-pavouku-1
2024-03-16,2024-03-16,"""Jarn perkus - Historick zbran""",Semily,"""2. kategorie""",,"""PeRe, PeRe50m, KPiC, PePiV, PePuV, KPuV, Werndl""","""Michal Saska""",,731,2024-03-16,https://shooting.cz/cs/souteze/2024-03-16-jarni-perkus-historicke-zbrane-1
2024-03-16,2024-03-16,"""Krajsk steleck liga mldee Zlnskho kraje 3.kolo""","""Uhersk Ostroh""","""2. kategorie, Kraj""","""ci 13 a 14 let, kyn 13 a 14 let, ci do 12 let, kyn do 12 let""","""VzPu 30 ISSF vlee, VzPu 30 ISSF vlee s oporou""",,,210,2024-03-16,https://shooting.cz/cs/souteze/2024-03-16-krajska-strelecka-liga-mladeze-zlinskeho-kraje-3-kolo
2024-03-16,2024-03-16,"""Velikonon stlen 15.ronk""",Borek,"""2. kategorie""","""Mui, eny, Junioi, Juniorky, Dorostenci st., ci 13 a 14 let, ci do 12 let""","""VzPu 60 ISSF, VzPu 40 ISSF, VzPu 30 ISSF vlee""",,,301,2024-03-16,https://shooting.cz/cs/souteze/2024-03-16-velikonocni-strileni-15-rocnik-1
2024-03-16,2024-03-17,"""Sezemick MAMLAS 2024 - Vzduchov puka a pistole 100 ran""",Sezemice,"""3. kategorie""","""Mui, eny""",,,,253,2024-03-16,https://shooting.cz/cs/souteze/2024-03-16-sezemicky-mamlas-2024-vzduchova-puska-a-pistole-100-ran-1
2024-03-16,2024-03-16,"""Chomutovsk vzduchovkov extraliga 2023 - 2024 finle""",Chomutov,,"""Mui, Mui, eny, Junioi, Dorostenci st., ci 13 a 14 let, Veterni""","""VzPi 60, VzPi 40, VzPu 60 ISSF, VzPu 40 ISSF, VzPu 30 ISSF vlee""","""SSK Chomutov""",,,2023-10-15,https://shooting.cz/cs/souteze/2023-10-15-chomutovska-vzduchovkova-extraliga-2023-2024-1-kolo-2023-7
2024-03-16,2024-03-16,"""Pohr Srdce Symfonie""","""Ptek u Podbrad""","""2. kategorie""",,"""VzPu 30 ISSF vlee""",,,,2024-03-16,https://shooting.cz/cs/souteze/2024-03-16-pohar-srdce-symfonie
2024-03-17,2024-03-17,"""Jikovsk liga 2023/2024 4.kolo""",Jikov,"""2. kategorie""","""ci do 10 let, Mui, eny, Dorostenci st., ci 13 a 14 let, kyn 13 a 14 let, ci do 12 let, kyn do 12 let""","""VzPi 60, VzPi 40, VzPu 60 ISSF, VzPu 40 ISSF, VzPu 30 ISSF vlee, VzPu 30 ISSF vlee s oporou""","""SSK Jikov""",,,2024-03-17,https://shooting.cz/cs/souteze/2023-11-11-jirikovska-liga-2023-2024-1-kolo-2
2024-03-17,2024-03-17,"""Karlovarsk liga  vzduchov pistole 2023/2024 12.kolo""",Bezov,"""2. kategorie""","""Veterni 65+ let, Mui, eny, Dorostenci st., ci 13 a 14 let, Senioi""","""VzPi 60, VzPi 40, VzPi 60 s oporou, VzPi 40 s oporou""","""Karlovarsk krajsk sdruen SS""",,,2024-03-17,https://shooting.cz/cs/souteze/2023-10-15-karlovarska-liga-vzduchova-pistole-2023-2024-1-kolo_clone_355894_clone_236980
2024-03-17,2024-03-17,"""Vzduchov sportka 2023/24 4.kolo""",Chomutov,"""2. kategorie""","""Mui, eny, Dorostenci st., Dorostenky st.""","""SpVzPi 30+30""","""SSK Chomutov I. , II. a IV.kolo, SSK Louny III. kolo""",,,2023-11-19,https://shooting.cz/cs/souteze/2023-11-19-vzduchova-sportka-2023-24-1-kolo-2023-2
2024-03-23,2024-03-23,"""Jarn sout z pedovek 2024""",Ostrom,"""2. kategorie""",Mui,"""PePiC, PeRe, KPiC, DPi, PePiV, PePuC, PePuV, KPuC, Werndl""",,,214,2024-03-15,https://shooting.cz/cs/souteze/2024-03-23-jarni-soutez-z-predovek-2024-1
2024-03-23,2024-03-23,"""Mistrovstv R 2024 vzduchov puka 30 ran vlee""",Plze,"""1. kategorie""","""ci 13 a 14 let, kyn 13 a 14 let, ci do 12 let, kyn do 12 let""","""VzPu 30 ISSF vlee""","""esk steleck svaz""",,370,2024-03-11,https://shooting.cz/cs/souteze/2024-03-23-m-cr-2024-plzen-vzduchova-puska-30-ran-vleze
2024-03-23,2024-03-24,"""Mistrovstv R ze vzduchovch vcerannch zbran 2024""",Karvin,"""1. kategorie, ebek""","""Mui, eny, Junioi, Juniorky, Dorostenci st., Dorostenky st.""","""SpVzPi 30+30, StVzPi 3x20, RVzPi 2x30""","""esk steleck svaz""",,373,2024-03-12,https://shooting.cz/cs/souteze/2024-03-23-mistrovstvi-cr-ze-vzduchovych-vicerannych-zbrani-2024
2024-03-24,2024-03-24,"""Cena SV Svitavy 32. ronk""",,"""2. kategorie""",,"""VzPi 60, VzPi 40""","""SV Svitavy""",,119,2024-03-24,https://shooting.cz/cs/souteze/2024-03-24-cena-svc-svitavi-32-rocnik
2024-03-30,2024-03-30,"""Jarn cena 19. ronk""","""Uhersk Ostroh""","""2. kategorie""",Mui,"""PePiC, PeRe, PeRe50m, KPiC, DPi, PePuC, PePuV, KPuC, DPu, PePuC100m, PePuV100m""",,,210,2024-03-30,https://shooting.cz/cs/souteze/2024-03-30-jarni-cena-19-rocnik
2024-03-30,2024-03-30,"""Pohr msta ernovic""",ernovice,"""2. kategorie""","""ci 13 a 14 let, ci do 12 let""","""VzPu 30 ISSF vlee""",,,202,2024-03-30,https://shooting.cz/cs/souteze/2024-03-30-pohar-mesta-cernovic
2024-03-31,2024-03-31,"""Velikonon pistole""","""Nov paka""","""3. kategorie""",Mui,"""VP 30+30""",,,192,2024-04-01,https://shooting.cz/cs/souteze/2024-03-31-velikonocni-pistole
2024-04-06,2024-04-06,"""Dubnov otoka""",Chotbo,"""2. kategorie""","""Mui, eny, Junioi, Juniorky, Dorostenci st., dorostenci ml.""","""SP 30+30, VP 30+30""",,,120,,https://shooting.cz/cs/souteze/2024-04-06-dubnova-otocka-1
2024-04-06,2024-04-06,"""Medvd vstvn 2. ronk""",Podbrady,"""3. kategorie""",,,,,32,,https://shooting.cz/cs/souteze/2024-04-06
2024-04-06,2024-04-06,"""Memoril stelc 2024""",epirohy,"""2. kategorie""",Mui,"""PePiC, PeRe, KPiC, PePiV, PePuC, PePuV, KPuC, KPuV""",,,311,2024-04-06,https://shooting.cz/cs/souteze/2024-04-06-memorial-strelcu-2024
2024-04-06,2024-04-06,"""Memoril Vladimra Vvry""",Semily,"""2. kategorie""",,"""SP 30+30""","""Daniel Medek""",,731,2024-04-06,https://shooting.cz/cs/souteze/2024-04-06-memorial-vladimira-vavry-1
2024-04-06,2024-04-06,"""Pobovick diabolka - 2.ronk""",Pobovice,"""2. kategorie""","""ci 13 a 14 let, kyn 13 a 14 let, ci do 12 let, kyn do 12 let""","""VzPu 30 ISSF vlee, VzPu 30 ISSF vlee s oporou""",,,230,2024-04-02,https://shooting.cz/cs/souteze/2024-04-06-pobezovicka-diabolka-2-rocnik-1
2024-04-07,2024-04-07,"""Jarn cena Opavy""",Opava,"""2. kategorie""","""Mui, eny, Junioi, Juniorky, Dorostenci st., Dorostenky st.""","""SM 3x20, SM 60, LM 3x20, LM 60 ISSF""",,,4,2024-04-04,https://shooting.cz/cs/souteze/2024-04-07-jarni-cena-opavy-1
2024-04-11,2024-04-22,"""ISSF Final Olympic Qualification Championship Rifle & Pistol""","""Rio De Janeiro""","""repre-tmy, Sledovan, Svt""","""Mui, eny""","""VzPi 60, SP 30 men, RP 2x30, VzPu 60 ISSF, SM 3x20, LM 3x20""",,,,,https://shooting.cz/cs/souteze/2024-04-11-issf-final-olympic-qualification-champions-rio-de-janeiro-clone-798006
2024-04-13,2024-04-13,"""Karlovarsk liga LP60 1.kolo - Pohr hejtmana Karlovarskho kraje""","""Lomnice u Sokolova""","""2. kategorie""","""Mui, Junioi, Senioi""","""LP 60""",,,258,,https://shooting.cz/cs/souteze/2024-04-13-karlovarska-liga-lp60-1-kolo-pohar-hejtmana-karlovarskeho-kraje
2024-04-14,2024-04-14,"""Jarn cena SSK Pomez - 32.ronk""",Svitavy,"""2. kategorie""","""Mui, eny""","""VzPi 60, VzPi 40""","""SV Svitavy""",,119,2024-04-06,https://shooting.cz/cs/souteze/2024-04-14-jarni-cena-ssk-pomezi-32-rocnik-1
2024-04-14,2024-04-14,"""Krajsk steleck liga mldee Zlnskho kraje Finle""",Nivnice,"""2. kategorie, Kraj""","""ci 13 a 14 let, kyn 13 a 14 let, ci do 12 let, kyn do 12 let""","""VzPu 30 ISSF vlee, VzPu 30 ISSF vlee s oporou""",,,551,2024-04-14,https://shooting.cz/cs/souteze/2024-04-14-krajska-strelecka-liga-mladeze-zlinskeho-kraje-finale
2024-04-14,2024-04-14,"""Pohr starosty Lomnice LM,SM 60""","""Lomnice u Sokolova""","""2. kategorie""","""Mui, eny, Junioi, Juniorky, Dorostenci st., Dorostenky st., Senioi""","""SM 60, LM 60""",,,258,2024-04-14,https://shooting.cz/cs/souteze/2024-04-14-pohar-starosty-lomnice-lm-sm-60-1
2024-04-14,2024-04-14,"""Pohr starosty Lomnice LM,SM 60""",Sokolov,"""2. kategorie""","""Mui, eny, Junioi, Dorostenci st., Senioi""","""SM 60, LM 60""",,,258,2024-04-14,https://shooting.cz/cs/souteze/2024-04-14-pohar-starosty-lomnice-lm-sm-60-2
2024-04-17,2024-04-17,"""Fiala CUP 6.kolo""",Plze,"""2. kategorie""","""Mui, eny, Dorostenci st., ci 13 a 14 let""","""VzPi 40, VzPi 40 s oporou""","""SSK Dukla Plze - . 0370 (1. - 3. kolo) ,SSK Policie Rapid Plze - . 0232 (4.  6. kolo)""",,,2024-03-19,https://shooting.cz/cs/souteze/2023-10-11-fiala-cup-1-kolo-clone-464252
2024-04-19,2024-04-21,"""Kontroln sledovan zvod 2024 1.kolo""",Plze,"""1. kategorie, ebek, Sledovan, Stt""","""Mui, eny""","""LP 60, StP 3x20, VP 30+30, SM 60 ISSF, LM 60 ISSF""",,,,,https://shooting.cz/cs/souteze/2024-04-19-kontrolni-sledovany-zavod-2024-1-kolo
2024-04-19,2024-04-21,"""Kontroln zvod reprezentace 2024 1.kolo""",Plze,"""1. kategorie, ebek, Sledovan, Stt""","""Mui, eny""","""VzPi 60, SP 30+30, RP 2x30, VzPu 60 ISSF, SM 3x20, LM 3x20""",,,,,https://shooting.cz/cs/souteze/2024-04-19-kontrolni-zavod-reprezentace-2024-1-kolo
2024-04-19,2024-04-21,"""Oblastn steleck liga kule Karvin 2024 - 1. kolo""","""Karvin - Nov Msto""","""2. kategorie""","""Mui, eny, Junioi, Juniorky, Dorostenci st., Dorostenky st., dorostenci ml., dorostenky ml.""","""SP 30+30, LP 60, StP 3x20, RP 2x30, VP 15+15""",,,373,2024-04-19,https://shooting.cz/cs/souteze/2024-04-19-oblastni-strelecka-liga-kule-karvina-2024-1-kolo-1
2024-04-20,2024-04-20,"""Aprlov sportka""","""Praha 9 Hloubtn""","""3. kategorie""","""Mui, eny""","""SP 30 men""",,,121,2024-04-18,https://shooting.cz/cs/souteze/2024-04-20-aprilova-sportka
2024-04-20,2024-04-20,"""Karlovarsk liga SP 30+30 1.kolo - Sokolovsk sportka""","""Lomnice u Sokolova""","""2. kategorie""","""Mui, eny, Junioi, Juniorky, Dorostenci st., Dorostenky st., Senioi""","""SP 30+30""",,,258,2024-04-20,https://shooting.cz/cs/souteze/2024-04-20-karlovarska-liga-sp-30-30-1-kolo-sokolovska-sportka-1
2024-04-22,2024-05-01,"""ISSF Final Olympic Qualification Championship Shotgun""",Doha,"""repre-tmy, Sledovan, Svt""","""Mui, eny""","""Skeet, Trap""",,,,,https://shooting.cz/cs/souteze/2024-04-22-issf-final-olympic-qualification-champions-doha
2024-04-27,2024-04-27,"""Jarn cena SSK jezd Sv.Ke""","""jezd Sv.Ke""","""2. kategorie""","""Mui, eny, Dorostenci st., Senioi""","""SM 60, LM 60""",,,230,2024-04-25,https://shooting.cz/cs/souteze/2024-04-27-jarni-cena-ssk-ujezd-sv-krize-1
2024-04-27,2024-04-27,"""Karlovarsk liga SP 30+30 2.kolo / StP 3x20 1.kolo - Lomnick sportka""","""Lomnice u Sokolova""","""2. kategorie""","""Mui, eny, Junioi, Juniorky, Dorostenci st., Dorostenky st., Senioi""","""SP 30+30, StP 3x20""",,,258,2024-04-27,https://shooting.cz/cs/souteze/2024-04-27-karlovarska-liga-sp-30-30-2-kolo-stp-3x20-1-kolo-lomnicka-sportka
2024-04-27,2024-04-27,"""Velk cena Chotboe""",Chotbo,"""2. kategorie""","""Mui, eny, Junioi, Juniorky""","""LP 60""",,,120,,https://shooting.cz/cs/souteze/2024-04-27-velka-cena-chotebore-1
2024-04-27,2024-04-28,"""esk pohr mldee 2024 1.kolo Manuice""",Manuice,"""1. kategorie, ebek, Sledovan, Stt""","""Dorostenci st., Dorostenky st.""","""VzPi 40, SP 30+30, VzPu 40 ISSF, SM 3x20, SM 60""","""esk steleck svaz""",,200,2024-04-15,https://shooting.cz/cs/souteze/2024-04-27-cesky-pohar-mladeze-2024-1-kolo-manusice
2024-04-27,2024-04-28,"""esk pohr mldee 2024 1.kolo Ostrava""","""Ostrava - Poruba""","""1. kategorie, ebek, Sledovan, Stt""","""Dorostenci st., Dorostenky st.""","""VzPi 40, SP 30+30, VzPu 40 ISSF, SM 3x20, SM 60""","""esk steleck svaz""",,368,2024-04-15,https://shooting.cz/cs/souteze/2024-04-27-klon-cesky-pohar-mladeze-2024-1-kolo-ostrava
2024-04-28,2024-04-28,"""VC O Prosimice""",Prosimice,"""2. kategorie""","""Mui, eny, Junioi, Juniorky, Dorostenci st., dorostenci ml.""","""SM 3x20, SM 60, LM 3x20, LM 60""",,,125,2024-04-28,https://shooting.cz/cs/souteze/2024-04-28-vc-ou-prosimerice
2024-05-01,2024-05-01,"""Prvomjov pistole""","""Nov paka""","""3. kategorie""","""Mui, eny""","""VP 30 men""",,,192,2024-05-01,https://shooting.cz/cs/souteze/2024-05-01-prvomajova-pistole
2024-05-01,2024-05-05,"""52nd Grand Prix of  Liberation 2024 Plze""",Plze,"""1. kategorie, ebek, Sledovan, Svt""","""Mui, eny""","""VzPi 60, SP 30+30, LP 60, StP 3x20, RP 2x30, VP 30+30, VzPu 60 ISSF, SM 3x20, SM 60 ISSF, LM 3x20, LM 60 ISSF""","""Sdruen steleckch klub msta Plzn""",,,2024-04-24,https://shooting.cz/cs/souteze/2024-05-01-52nd-grand-prix-of-liberation-2024-plzen
2024-05-01,2024-05-12,"""ISSF World Cup Baku""",Baku,"""repre-tmy, Sledovan, Svt""","""Mui, eny""","""VzPi 60, SP 30 men, RP 2x30, VzPu 60 ISSF, SM 3x20, LM 3x20, Skeet, Trap""",,,,,https://shooting.cz/cs/souteze/2024-01-24-issf-world-cup-cairo-egypt-clone-400592
2024-05-03,2024-05-05,"""Oblastn steleck liga kule Karvin 2024 - 2. kolo + PM 2024 - 1. kolo (RP 2x30)""","""Karvin - Nov Msto""","""2. kategorie""","""Mui, eny, Junioi, Juniorky, Dorostenci st., Dorostenky st., dorostenci ml., dorostenky ml.""","""SP 30+30, LP 60, StP 3x20, RP 2x30, VP 15+15""",,,373,,https://shooting.cz/cs/souteze/2024-05-03-oblastni-strelecka-liga-kule-karvina-2024-2-kolo-cpm-2024-1-kolo-rp-2x30-1
2024-05-04,2024-05-04,"""Karlovarsk liga LP60 2.kolo""","""Lomnice u Sokolova""","""2. kategorie""","""Mui, Junioi, Senioi""","""LP 60""",,,258,2024-05-04,https://shooting.cz/cs/souteze/2024-05-04-karlovarska-liga-lp60-2-kolo-1
2024-05-04,2024-05-04,"""Memoril K. Trnky""","""Praha 9 Hloubtn""","""3. kategorie""","""Mui, eny""","""SP 30 men""",,,121,2024-05-02,https://shooting.cz/cs/souteze/2025-04-19-memorial-trnky-1
2024-05-04,2024-05-04,"""Pohr osvobozen msta Hluna""",Hlun,"""2. kategorie""","""Mui, eny, Junioi, Juniorky, Dorostenci st., Dorostenky st., dorostenci ml., dorostenky ml., Veterni""","""SM 3x20, SM 60""",,,34,2024-05-02,https://shooting.cz/cs/souteze/2024-05-04-pohar-osvobozeni-mesta-hlucina
2024-05-04,2024-05-04,"""Poszavsk pedovky""",Krhanice,"""2. kategorie""",,"""PePiC, PeRe, KPiC, DPi, PePiV""",,,117,,https://shooting.cz/cs/souteze/2024-05-04-posazavske-predovky-1
2024-05-04,2024-05-04,"""tt msta Tet""",Te,"""2. kategorie""","""Mui, eny, Junioi, Juniorky, Dorostenci st., dorostenci ml.""","""SM 3x20, SM 60 ISSF, LM 3x20, LM 60 ISSF""",,,39,2024-05-04,https://shooting.cz/cs/souteze/2024-05-04-stit-mesta-treste-1
2024-05-04,2024-05-04,"""VC dvor""",Dvory,"""2. kategorie""",,"""SM 60, LM 60""",,,37,,https://shooting.cz/cs/souteze/2024-05-04-vc-dvoru
2024-05-05,2024-05-05,"""Pohr Ostroje Opava""",Opava,"""2. kategorie""","""Mui, eny, Junioi, Juniorky, Dorostenci st., Dorostenky st.""","""SM 3x20, SM 60""",,,4,2024-05-02,https://shooting.cz/cs/souteze/2024-05-05-pohar-ostroje-opava
2024-05-05,2024-05-05,"""Steleck liga Horn Cerekev 2024 - 1.kolo""","""Horn Cerekev""","""2. kategorie""","""Mui, eny, Junioi, Juniorky, Dorostenci st., dorostenci ml.""","""SM 3x20, SM 60 ISSF, LM 3x20, LM 60 ISSF""",,,252,2024-05-05,https://shooting.cz/cs/souteze/2024-05-05-strelecka-liga-horni-cerekev-2024-1-kolo-1
2024-05-08,2024-05-08,"""Jarn cena""",Chotbo,"""2. kategorie""","""Mui, eny, Junioi, Juniorky, Dorostenci st., dorostenci ml.""","""SM 3x20, SM 60, LM 3x20, LM 60""",,,120,,https://shooting.cz/cs/souteze/2024-05-08-jarni-cena-1
2024-05-11,2024-05-11,"""Boreck pohr 2024 - 1.kolo""",Borek,"""2. kategorie""",Mui,"""SP 30+30""",,,42,2024-05-11,https://shooting.cz/cs/souteze/2024-05-11-borecky-pohar-2024-1-kolo-1
2024-05-11,2024-05-11,"""Jarn Cena Chaloupek""","""Praha 9""","""2. kategorie""","""Mui, eny, Junioi, Juniorky, Dorostenci st., Dorostenky st., dorostenci ml., dorostenky ml.""","""SM 3x20, SM 60, LM 3x20, LM 60""",,,134,2024-05-11,https://shooting.cz/cs/souteze/2024-05-11-jarni-cena-chaloupek
2024-05-11,2024-05-11,"""Memoril M. Hamerleho""","""Praha 9 Hloubtn""","""2. kategorie""","""Mui, eny""","""VP 15+15""",,,121,2024-05-09,https://shooting.cz/cs/souteze/2024-04-20-aprilova-sportka-1
2024-05-11,2024-05-11,"""O pohr starosty obce Brnit - 2. ronk""","""Brnit ""","""2. kategorie""","""Mui, eny, Dorostenci st., ci 13 a 14 let, ci do 12 let""","""VzPu 60 ISSF, VzPu 40 ISSF, VzPu 30 ISSF vlee""",,,10,2024-05-11,https://shooting.cz/cs/souteze/2024-05-11-o-pohar-starosty-obce-brniste-2-rocnik-1
2024-05-11,2024-05-11,"""VC Dvor""",Dvory,"""2. kategorie""",,"""SP 30+30""",,,37,,https://shooting.cz/cs/souteze/2024-05-11-vc-dvoru
2024-05-11,2024-05-11,"""VC SSK KODA - dvojzvod""",Vrchlab,"""2. kategorie, Pi""",Mui,"""VP 30+30""",,,95,2024-05-11,https://shooting.cz/cs/souteze/2024-05-11-vc-ssk-skoda-dvojzavod
2024-05-11,2024-05-12,"""Velk cena Medvd 6.ronk""",Podbrady,"""2. kategorie""",,"""SM 3x20, SM 60, LM 3x20, LM 60""","""SSK DDM Koln . 0045""",,45,,https://shooting.cz/cs/souteze/2024-05-11-velka-cena-medvedu-6-rocnik-1
2024-05-12,2024-05-12,"""Chocholousk edestka""","""Bystice nad Perntejnem""","""2. kategorie""","""Mui, eny, Junioi, Juniorky, Dorostenci st., dorostenci ml.""","""SM 60, LM 60""",,,303,,https://shooting.cz/cs/souteze/2024-05-12-chocholousska-sedesatka-1
2024-05-12,2024-05-12,"""Mjov cena - 32.ronk""",Svitavy,"""2. kategorie""","""Mui, eny""","""VzPi 60, VzPi 40""","""SV Svitavy""",,119,2024-05-04,https://shooting.cz/cs/souteze/2024-05-12-majova-cena-32-rocnik
2024-05-15,2024-05-27,"""European Championships Lonato""",Lonato,"""repre-tmy, Sledovan, Svt""","""Mui, eny, Junioi, Juniorky""","""Skeet, Trap""",,,,,https://shooting.cz/cs/souteze/2024-05-15-european-championships-lonato
2024-05-17,2024-05-19,"""Kontroln sledovan zvod 2024 2.kolo""",Plze,"""1. kategorie, ebek, Sledovan, Stt""","""Mui, eny""","""LP 60, StP 3x20, VP 30+30, SM 60 ISSF, LM 60 ISSF""",,,,,https://shooting.cz/cs/souteze/2024-05-17-kontrolni-sledovany-zavod-2024-2-kolo
2024-05-17,2024-05-19,"""Kontroln zvod reprezentace 2024 2.kolo""",Plze,"""1. kategorie, ebek, Sledovan, Stt""","""Mui, eny""","""VzPi 60, SP 30+30, RP 2x30, VzPu 60 ISSF, SM 3x20, LM 3x20""",,,,,https://shooting.cz/cs/souteze/2024-05-17-kontrolni-zavod-reprezentace-2024-2-kolo
2024-05-18,2024-05-18,"""Velk cena Chaloupek""","""Praha 9 Hloubtn""","""2. kategorie""","""Mui, eny""","""SP 30+30""",,,121,2024-05-16,https://shooting.cz/cs/souteze/2024-05-18
2024-05-18,2024-05-18,"""Zpadoesk liga dorostu - 3.kolo""",Klatovy,"""2. kategorie""","""Dorostenci st., Dorostenky st.""","""SM 60, LM 60""",,,173,2024-05-17,https://shooting.cz/cs/souteze/2024-05-18-zapadoceska-liga-dorostu-3-kolo-1
2024-05-19,2024-05-19,"""Steleck liga Horn Cerekev 2024 - 2.kolo""","""Horn Cerekev""","""2. kategorie""","""Mui, eny, Junioi, Juniorky, Dorostenci st., dorostenci ml.""","""SM 3x20, SM 60 ISSF, LM 3x20, LM 60 ISSF""",,,252,2024-05-19,https://shooting.cz/cs/souteze/2024-05-19-strelecka-liga-horni-cerekev-2024-2-kolo
2024-05-23,2024-06-09,"""European Championships Osijek""",Osijek,"""repre-tmy, Sledovan, Svt""","""Mui, eny, Junioi, Juniorky""","""SP 30 men, LP 60, RP 2x30, SM 3x20, SM 60 ISSF, LM 3x20, LM 60 ISSF""",,,,,https://shooting.cz/cs/souteze/2024-05-23-european-championships-osijek
2024-05-25,2024-05-25,"""Cena pivovaru Chotbo""",Chotbo,"""2. kategorie""","""Mui, eny, Junioi, Juniorky, Dorostenci st., dorostenci ml.""","""SP 30+30""",,,120,,https://shooting.cz/cs/souteze/2024-05-25-cena-pivovaru-chotebor-1
2024-05-25,2024-05-25,"""Chalupeck mizivky""","""Praha 9""","""3. kategorie""","""Mui, eny, Junioi""","""M-PU-MC(Pu), M-PU-MC(OM)""",,,134,2024-05-25,https://shooting.cz/cs/souteze/2024-05-25-chalupecke-mizivky-1
2024-05-25,2024-05-25,"""Mjov sportka""","""Praha 9 Hloubtn""","""3. kategorie""","""Mui, eny""","""SP 30 men""",,,121,2024-05-23,https://shooting.cz/cs/souteze/2024-05-25
